Team Name,Coach Tourney Appearances ,SRS ,FG%,RPI,Adj Off Efficiency,Adj Def Efficiency,Adj Off-Def,Strength of Schedule,Win %,Coach sweet 16 appearances,Avg. Scoring margin,Major Conference,Turnovers per game,Wins Last 10 Games ,Coach Record,Seed,Points Allowed Per Game,Coach final four appearance,Won a Major Conference,Rebounds
Albany,4,-0.44,0.44,0.531,107.2,103.9,2.5,0.4572,0.75,0,5.3,0,11.7,9,0.564,14,60.2,0,0,33.6
Arizona,7,24.8,0.489,0.6643,119.9,87.5,29.6,0.5713,0.912,5,17.8,1,11.2,10,0.741,2,58.6,0,1,37.3
Arkansas,6,14.75,0.447,0.6089,114.7,98.3,15.3,0.5617,0.765,2,7.9,1,11.7,7,0.554,5,70.1,0,0,35.9
Baylor,4,19,0.434,0.6189,116.6,94.5,20.3,0.6022,0.719,3,8.8,1,12.5,6,0.594,3,60.3,0,0,38.9
Belmont,6,-0.07,0.476,0.5335,110.2,107.9,1.4,0.4703,0.677,0,3.6,0,13.7,7,0.639,15,70.3,0,0,33.3
Boise State,0,10.34,0.458,0.5744,111.9,98.1,12.9,0.5154,0.742,1,8.9,0,10.3,8,0.622,11,60.3,0,0,32.5
Buffalo,2,8.41,0.435,0.5895,111.3,99.4,11.3,0.5412,0.719,0,6.7,0,11.3,8,0.689,12,68.3,0,0,38.4
Butler,0,16.7,0.439,0.5922,110.2,90.1,15.8,0.5672,0.688,0,8.4,1,11.4,6,0.452,6,61.2,0,0,36.8
BYU,7,14.29,0.467,0.5764,119.4,102.7,15.6,0.5451,0.719,1,8.9,1,11.8,8,0.748,11,72.6,0,0,38.7
Cincinnati,6,10.64,0.453,0.5836,108.2,94,13.4,0.5516,0.688,1,5.8,1,12.8,6,0.612,8,55.3,0,0,34.2
Coastal Carolina,9,-1.46,0.439,0.5176,106.7,104.3,1.3,0.4488,0.69,3,10.1,0,11.9,8,0.615,16,61.7,0,0,37.6
Davidson,7,13.14,0.471,0.5787,119.7,104.7,15.4,0.5237,0.767,1,10.1,0,9.6,9,0.625,10,69,0,0,35.7
Dayton,7,10.82,0.463,0.5937,109.2,95,12.4,0.5273,0.758,1,7.3,0,11.5,7,0.657,11,60.9,0,0,31.6
Duke,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2
Eastern Washington,0,0.61,0.48,0.5509,112.9,109.6,2.3,0.4792,0.742,0,5.1,0,10.8,7,0.685,13,73.6,0,0,33.9
Georgetown,9,16.06,0.455,0.6008,114.3,95.1,16.6,0.5883,0.677,2,6.1,1,12.6,6,0.685,4,64.6,1,0,35.2
Georgia,4,12.4,0.435,0.5759,109.6,94.5,13.1,0.5632,0.656,0,4.2,1,12.8,6,0.639,10,64.2,0,0,38
Georgia State,1,4.96,0.48,0.57,111.6,101.3,9.2,0.4998,0.719,0,8.2,0,10.7,9,0.575,14,62.2,0,0,32.6
Gonzaga,15,21.9,0.524,0.6428,121.7,93.9,26,0.5452,0.939,4,17.1,0,10.6,9,0.81,2,60.9,0,0,37.7
Hampton,1,-9.07,0.408,0.4651,96.6,104,-6.7,0.4346,0.485,0,-0.8,0,14.2,7,0.508,16,68,0,0,37.1
Harvard,4,4.21,0.435,0.5643,104.8,95.6,7.5,0.5064,0.741,1,5,0,11.8,8,0.609,13,57.2,0,0,34.1
Indiana,7,13.38,0.466,0.5608,119.8,106,11.9,0.5687,0.606,3,6.1,1,11.5,4,0.604,10,71.4,1,0,36.2
Iowa,6,15.82,0.427,0.5808,114.2,95.1,16.2,0.566,0.656,0,7.5,1,11.3,7,0.57,7,61.9,0,0,37.7
Iowa State,3,19.16,0.48,0.6219,119,97.5,21.2,0.5916,0.758,1,9.1,1,11,8,0.671,3,69.3,0,1,35.9
Kansas,16,19.56,0.44,0.6607,114.5,91.8,20.3,0.6296,0.765,10,6.5,1,12.8,6,0.755,2,64.7,2,0,38.1
Kentucky,15,29.45,0.469,0.678,121.3,84.4,33.9,0.5707,1,11,20.9,1,10.6,10,0.832,1,54,5,1,38.2
Lafayette,2,-2.66,0.488,0.5235,112.9,115.1,-2.8,0.489,0.613,0,1.1,0,11,6,0.486,16,69.5,0,0,31.6
Louisville,19,18.65,0.429,0.6164,110.2,88.9,16.5,0.5745,0.75,12,9.7,1,11.8,5,0.741,4,59.5,7,0,38.1
LSU,2,11.67,0.456,0.5594,108.9,95.1,12.1,0.535,0.688,0,6,1,14.6,6,0.574,9,67.7,0,0,39.2
Manhattan,1,-0.64,0.435,0.4954,101.9,101.6,1.4,0.4615,0.594,0,2.4,0,14.5,7,0.603,16,67.5,0,0,33.1
Maryland,5,14.08,0.438,0.6229,111.3,95.7,13.9,0.5609,0.818,1,6.2,1,14.1,8,0.618,4,63.2,0,0,35.2
Michigan State,17,17.53,0.471,0.622,116.6,94.9,18,0.5906,0.676,12,8.5,1,11.6,7,0.713,7,63.4,6,0,37.7
Mississippi,1,11.88,0.426,0.5645,114.5,100.6,12.8,0.5181,0.625,0,5.1,1,11.3,5,0.631,11,67.5,0,0,37.7
NC State,10,14.25,0.437,0.589,114.9,98.9,8.5,0.5898,0.606,2,5,1,10.6,6,0.643,8,65.4,0,0,37.8
New Mexico State,4,3.88,0.466,0.5292,107.4,100.8,6.2,0.5132,0.677,0,8.2,0,13.9,10,0.632,15,59.3,0,0,34.8
North Carolina,24,21.32,0.475,0.6329,119.1,95.3,20.3,0.6129,0.686,15,9.5,1,12.7,6,0.769,4,68.4,7,0,41
North Dakota State,0,-2.18,0.43,0.5373,103.8,102.4,13.3,0.4662,0.7,0,2.3,0,9.8,8,0.789,15,61.5,0,0,33.6
North Florida,0,-0.34,0.469,0.4999,108.4,106.2,2.9,0.439,0.645,0,5.4,0,12.3,9,0.495,16,67.8,0,0,34.2
Northeastern,0,1.98,0.486,0.5382,108.3,103.1,3.6,0.4891,0.676,0,3.6,0,13.2,7,0.496,14,65,0,0,33.1
Notre Dame,11,19.42,0.51,0.6279,125.4,100.4,22.5,0.5435,0.853,1,13.2,1,9.4,8,0.662,3,65.6,0,1,32.8
Ohio State,12,20.43,0.486,0.5829,115.6,94.8,16.9,0.5482,0.697,6,13.4,1,11.3,6,0.764,10,62.3,2,0,35.8
Oklahoma,15,19.92,0.436,0.6137,112.5,89.7,20.4,0.587,0.688,3,9.2,1,12.1,7,0.614,3,62.8,0,0,38.3
Oklahoma State,5,13.99,0.439,0.564,111.8,96.8,13.2,0.5796,0.567,0,3.6,1,12.3,4,0.592,9,62.3,0,0,31.9
Oregon,10,11.35,0.461,0.5984,115.2,101.3,12.7,0.5619,0.727,1,4,1,11.8,8,0.642,8,70.7,0,0,35.7
Providence,1,14.47,0.442,0.5999,112.6,95.9,15.2,0.5926,0.667,0,4.7,1,11.8,5,0.583,6,65.5,0,0,35.9
Purdue,7,13.38,0.453,0.5613,110.9,97,11.4,0.5531,0.636,2,5.5,1,13.1,6,0.651,9,64.5,0,0,36.3
Robert Morris,0,-2.98,0.446,0.5071,103.1,104.5,-1.3,0.476,0.567,0,1.3,0,13.8,8,0.626,16,67.7,0,0,34.2
San Diego State,14,12.02,0.419,0.5992,104.9,89,5.3,0.5438,0.758,6,8,0,11.4,8,0.648,8,53.1,3,0,35.3
SMU,7,13.24,0.479,0.6167,113.1,95.6,17.4,0.5629,0.812,4,9.7,1,12.6,9,0.721,6,59.8,3,0,36.4
St. John's,7,12.49,0.441,0.5712,110.7,97,12.4,0.5712,0.645,5,3.3,0,10.7,7,0.61,9,67.6,0,0,35
Stephen F. Austin,1,8.7,0.491,0.5843,113.9,100.3,13.9,0.4935,0.867,0,13.5,0,14.1,9,0.897,12,64.5,0,0,34.4
Texas,21,17.04,0.436,0.5712,112.4,93.4,17,0.5805,0.606,6,7.5,1,12.7,5,0.659,11,60.4,1,0,39.7
Texas Southern,6,-5.99,0.444,0.524,104.1,107.9,-3.2,0.4546,0.647,1,0.7,0,13.1,10,0.602,15,67.4,1,0,34.5
UAB,0,1.78,0.43,0.5231,104.9,101.9,3.5,0.5204,0.545,0,0.8,0,13.6,6,0.54,14,67.7,0,0,36.2
UC Irvine,0,3.51,0.461,0.5362,106.3,99.2,5.6,0.5046,0.613,0,3.4,0,11.6,7,0.533,13,62.3,0,0,35.4
UCLA,8,12.21,0.441,0.5825,112.9,98.2,12.8,0.5674,0.606,2,4,1,11.9,6,0.665,11,68,0,0,38
UNI,2,12.4,0.483,0.6246,116.3,95.3,20.6,0.5167,0.909,1,11.1,0,10.5,9,0.653,5,54.3,0,0,30.8
Utah,2,21.3,0.485,0.6231,116.4,89.2,22.4,0.5643,0.742,0,14.5,1,11.4,6,0.571,5,56.9,0,0,34.8
Valparaiso,1,6.3,0.459,0.5656,107.4,96.3,9.5,0.4751,0.833,0,8.7,0,12.5,9,0.696,13,59.3,0,0,36.8
VCU,4,12.91,0.42,0.6118,111.1,94.9,14.5,0.5829,0.743,1,7,0,10.7,7,0.744,7,65.5,1,0,35.3
Villanova,11,23.32,0.47,0.6591,122.7,92,28.6,0.5719,0.941,4,15.4,1,10.9,10,0.65,1,60.9,1,1,34.4
Virginia,4,22.62,0.463,0.651,115.6,85.5,26.8,0.5742,0.906,2,14.6,1,9.5,8,0.681,2,50.7,0,0,36.2
West Virginia,20,16.39,0.412,0.6094,112.6,94.9,15.8,0.5685,0.719,6,7.1,1,13.1,5,0.712,5,66.8,2,0,36.8
Wichita State,10,15.16,0.446,0.6236,115.8,93.6,20.1,0.5246,0.871,1,12.8,0,9.4,9,0.715,7,55.8,1,0,34.9
Wisconsin,13,24.99,0.48,0.6798,129,95.2,30.4,0.5845,0.912,6,15.8,1,7.4,9,0.738,1,56.1,1,1,33.9
Wofford,3,2.39,0.458,0.572,105.2,98.5,5.8,0.4815,0.871,0,5.8,0,10.9,9,0.522,12,59.8,0,0,32
Wyoming,0,4.38,0.462,0.5523,104.8,99.1,4.8,0.4993,0.719,0,4.5,0,12.1,6,0.549,12,56,0,0,29.8
Xavier,4,15.27,0.473,0.5971,116.6,97.1,15.8,0.5759,0.618,4,5.9,1,12.1,6,0.653,6,67.6,0,0,34.9